date,state,pm2_5,pm10,o3,no2,so2,co
1/3/2019,gujrat,200, ,37,43,34,4
1/4/2019,gujrat,177, ,51,51,41,5
1/5/2019,gujrat,183, ,34,33,26,4
1/6/2019,gujrat,156, ,37,34,24,4
1/7/2019,gujrat,158, ,38,37,28,5
1/8/2019,gujrat,168, ,39,42,30,4
1/9/2019,gujrat,164, ,35,36,29,5
1/10/2019,gujrat,162, ,37,38,34,7
1/11/2019,gujrat,159, ,41,34,31,5
1/12/2019,gujrat,149, ,38,38,32,4
1/13/2019,gujrat,189, ,42,28,17,5
1/14/2019,gujrat,160, ,40,16,14,5
1/15/2019,gujrat,155, ,48,53,32,9
1/16/2019,gujrat,218, ,36,46,28,5
1/17/2019,gujrat,191, ,35,45,39,5
1/18/2019,gujrat,170, ,30,37,28,5
1/19/2019,gujrat,154, ,35,48,38,5
1/20/2019,gujrat,165, ,28,40,44,5
1/21/2019,gujrat,208, ,21,25,29,4
1/22/2019,gujrat,150, ,35,38,39,5
1/23/2019,gujrat,163, ,34,37,42,4
1/24/2019,gujrat,155, ,31,29,29,4
1/25/2019,gujrat,133, ,8,30,29,4
1/26/2019,gujrat,125, , ,27,18,4
1/27/2019,gujrat,126, ,26,31,19,5
1/28/2019,gujrat,146, ,31,36,19,4
1/29/2019,gujrat,154, ,33,38,36,5
1/30/2019,gujrat,136, ,50,51,44,5
1/31/2019,gujrat,164, ,30,35,40,5
2/1/2019,gujrat,160, ,35,30,33,4
2/2/2019,gujrat,126, ,39,36,29,5
2/3/2019,gujrat,141, ,32,37,28,5
2/4/2019,gujrat,176, ,46,53,35,5
2/5/2019,gujrat,168, ,35,30,27,5
2/6/2019,gujrat,120, ,31,20,21,5
2/7/2019,gujrat,170, ,31,25,20,4
2/8/2019,gujrat,176, ,36,36,20,6
2/9/2019,gujrat,124, ,38,35,25,4
2/10/2019,gujrat,112, ,41,40,25,5
2/11/2019,gujrat,123, ,39,35,26,5
2/12/2019,gujrat,136, ,52,39,43,6
2/13/2019,gujrat,161, ,47,30,19,5
2/14/2019,gujrat,146, ,41,48,20,4
2/15/2019,gujrat,152, ,42,34,20,4
2/16/2019,gujrat,120, ,47,39,25,4
2/17/2019,gujrat,129, ,42,48,40,4
2/18/2019,gujrat,158, ,35,28,21,4
2/19/2019,gujrat,114, ,33,39,19,4
2/20/2019,gujrat,138, ,19,17,11,4
2/21/2019,gujrat,96, ,10,22,10,4
2/22/2019,gujrat,106, ,35,31,21,4
2/23/2019,gujrat,98, ,39,35,25,4
2/24/2019,gujrat,139, ,35,22,19,3
